KP [km],Distance step [m],Time [s],Elapsed time [hh:mm:ss],Elapsed time [s],Speed [km/h],Acceleration [m/s²],Equivalent grade [‰],Radius [m],Speed restriction [km/h],Tractive Effort [kN],Braking Effort [kN],Resistance [kN],Energy source
0.09400000,2.00000000,0.24000000,0:00:16,16.69867480,30.00000000,0.00000000,0.00000000,650.00000000,30.00000000,4.69324696,0.00000000,4.69324696,AC catenary
0.09600000,2.00000000,0.24000000,0:00:16,16.93867480,30.00000000,0.00000000,0.00000000,650.00000000,30.00000000,4.69324696,0.00000000,4.69324696,AC catenary
0.09800000,2.00000000,0.24000000,0:00:17,17.17867480,30.00000000,0.00000000,0.00000000,650.00000000,30.00000000,4.69324696,0.00000000,4.69324696,AC catenary
0.10000000,2.00000000,0.24000000,0:00:17,17.41867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.10200000,2.00000000,0.24000000,0:00:17,17.65867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.10400000,2.00000000,0.24000000,0:00:17,17.89867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.10600000,2.00000000,0.24000000,0:00:18,18.13867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.10800000,2.00000000,0.24000000,0:00:18,18.37867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.11000000,2.00000000,0.24000000,0:00:18,18.61867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.11200000,2.00000000,0.24000000,0:00:18,18.85867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.11400000,2.00000000,0.24000000,0:00:19,19.09867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.11600000,2.00000000,0.24000000,0:00:19,19.33867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.11800000,2.00000000,0.24000000,0:00:19,19.57867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.12000000,2.00000000,0.24000000,0:00:19,19.81867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.12200000,2.00000000,0.24000000,0:00:20,20.05867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.12400000,2.00000000,0.24000000,0:00:20,20.29867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.12600000,2.00000000,0.24000000,0:00:20,20.53867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.12800000,2.00000000,0.24000000,0:00:20,20.77867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.13000000,2.00000000,0.24000000,0:00:21,21.01867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.13200000,2.00000000,0.24000000,0:00:21,21.25867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.13400000,2.00000000,0.24000000,0:00:21,21.49867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
